,date,close,open,high,low,ohcl_avg,name
313,2021-11-30,4567.0,4640.25,4646.02,4560.0,4603.3175,spx
314,2021-11-29,4655.27,4628.75,4672.95,4625.26,4645.557500000001,spx
315,2021-11-26,4594.62,4664.63,4664.63,4585.43,4627.3275,spx
316,2021-11-24,4701.46,4675.78,4702.87,4659.89,4685.0,spx
317,2021-11-23,4690.7,4678.48,4699.39,4652.66,4680.3075,spx
318,2021-11-22,4682.94,4712.0,4743.83,4682.17,4705.235000000001,spx
319,2021-11-19,4697.96,4708.44,4717.75,4694.22,4704.5925,spx
320,2021-11-18,4704.54,4700.72,4708.8,4672.78,4696.71,spx
321,2021-11-17,4688.67,4701.5,4701.5,4684.41,4694.02,spx
322,2021-11-16,4700.9,4679.42,4714.95,4679.42,4693.6725,spx
323,2021-11-15,4682.8,4689.3,4697.42,4672.86,4685.595,spx
324,2021-11-12,4682.85,4655.24,4688.47,4650.77,4669.3325,spx
325,2021-11-11,4649.27,4659.39,4664.55,4648.31,4655.38,spx
326,2021-11-10,4646.71,4670.26,4684.85,4630.86,4658.17,spx
327,2021-11-09,4685.25,4707.25,4708.53,4670.87,4692.974999999999,spx
328,2021-11-08,4701.7,4701.48,4714.92,4694.39,4703.1225,spx
329,2021-11-05,4697.53,4699.26,4718.5,4681.32,4699.1525,spx
330,2021-11-04,4680.06,4662.93,4683.0,4662.59,4672.145,spx
331,2021-11-03,4660.57,4630.65,4663.46,4621.19,4643.9675,spx
332,2021-11-02,4630.65,4613.34,4635.15,4613.34,4623.12,spx
333,2021-11-01,4613.67,4610.62,4620.34,4595.06,4609.9225,spx
334,2021-10-29,4605.38,4572.87,4608.08,4567.59,4588.4800000000005,spx
335,2021-10-28,4596.42,4562.84,4597.55,4562.84,4579.9125,spx
336,2021-10-27,4551.68,4580.22,4584.57,4551.66,4567.0325,spx
337,2021-10-26,4574.79,4578.69,4598.53,4569.17,4580.295,spx
338,2021-10-25,4566.48,4553.69,4572.62,4537.36,4557.537499999999,spx
339,2021-10-22,4544.9,4546.12,4559.67,4524.0,4543.672500000001,spx
340,2021-10-21,4549.78,4532.24,4551.44,4526.89,4540.0875,spx
341,2021-10-20,4536.19,4524.42,4540.87,4524.4,4531.469999999999,spx
342,2021-10-19,4519.63,4497.34,4520.4,4496.41,4508.445,spx
343,2021-10-18,4486.46,4463.72,4488.75,4447.47,4471.6,spx
344,2021-10-15,4471.37,4447.69,4475.82,4447.69,4460.642499999999,spx
345,2021-10-14,4438.26,4386.75,4439.73,4386.75,4412.8725,spx
346,2021-10-13,4363.8,4358.01,4372.87,4329.92,4356.15,spx
347,2021-10-12,4350.65,4368.31,4374.89,4342.09,4358.985000000001,spx
348,2021-10-11,4361.19,4385.44,4415.88,4360.59,4380.775,spx
349,2021-10-08,4391.34,4406.51,4412.02,4386.22,4399.0225,spx
350,2021-10-07,4399.76,4383.73,4429.97,4383.73,4399.297500000001,spx
351,2021-10-06,4363.55,4319.57,4365.57,4290.49,4334.795,spx
352,2021-10-05,4345.72,4309.87,4369.23,4309.87,4333.6725,spx
353,2021-10-04,4300.46,4348.84,4355.51,4278.94,4320.9375,spx
354,2021-10-01,4357.04,4317.16,4375.19,4288.52,4334.4775,spx
355,2021-09-30,4307.54,4370.67,4382.55,4306.24,4341.75,spx
356,2021-09-29,4359.46,4362.41,4385.57,4355.08,4365.629999999999,spx
357,2021-09-28,4352.63,4419.54,4419.54,4346.33,4384.51,spx
358,2021-09-27,4443.11,4442.12,4457.3,4436.19,4444.679999999999,spx
359,2021-09-24,4455.48,4438.04,4463.12,4430.27,4446.7275,spx
360,2021-09-23,4448.98,4406.75,4465.4,4406.75,4431.969999999999,spx
361,2021-09-22,4395.64,4367.43,4416.75,4367.43,4386.8125,spx
362,2021-09-21,4354.19,4374.45,4394.87,4347.96,4367.867499999999,spx
363,2021-09-20,4357.73,4402.95,4402.95,4305.91,4367.385,spx
364,2021-09-17,4432.99,4469.74,4471.52,4427.76,4450.5025000000005,spx
365,2021-09-16,4473.75,4477.09,4485.87,4443.8,4470.1275,spx
366,2021-09-15,4480.7,4447.49,4486.87,4438.37,4463.3575,spx
367,2021-09-14,4443.05,4479.33,4485.68,4435.46,4460.88,spx
368,2021-09-13,4468.73,4474.81,4492.99,4445.7,4470.5575,spx
369,2021-09-10,4458.58,4506.92,4520.47,4457.66,4485.907499999999,spx
370,2021-09-09,4493.28,4513.02,4529.9,4492.07,4507.0675,spx
371,2021-09-08,4514.07,4518.09,4521.79,4493.95,4511.975,spx
372,2021-09-07,4520.03,4535.38,4535.38,4513.0,4525.9475,spx
373,2021-09-03,4535.43,4532.42,4541.45,4521.3,4532.65,spx
